"id","name","age","gender","email","phone","occupation","education","incomeRange","tiktokUsage","tiktokShopUsage","lastPurchase","createdAt"
"cmoecyp0s0020f1jc9l514g8z","Fani Peranginangin",44,"Perempuan","fani.peranginangin1@outlook.com","081369005594","Desainer","SMA","5-10jt",5,2,"2023-11-20T03:40:58.881Z","2026-04-25T13:11:26.765Z"
"cmoecyp0z0021f1jcr7w50q2x","Surya Sihombing",22,"Laki-laki","surya.sihombing80@ymail.com","088866697660","Wiraswasta","D2","5-10jt",5,2,"2023-08-03T17:45:11.276Z","2026-04-25T13:11:26.771Z"
"cmoecyp150022f1jcw5on62w0","Lestari Siregar",38,"Laki-laki","lestari.siregar22@gmail.com","081283215337","Sopir","S2","< 3jt",1,2,"2023-09-01T20:46:19.843Z","2026-04-25T13:11:26.777Z"
"cmoecyp1e0023f1jck395w3ir","Gunawan Hutapea",19,"Laki-laki","gunawan.hutapea30@ymail.com","085329448720","Wiraswasta","D1","> 10jt",5,4,"2023-08-17T05:32:44.633Z","2026-04-25T13:11:26.786Z"
"cmoecyp1n0024f1jceiwoldld","Nur Lubis",24,"Perempuan","nur.lubis6@yahoo.com","088302665559","Dokter","D1","5-10jt",4,2,"2023-08-04T20:51:56.212Z","2026-04-25T13:11:26.795Z"
"cmoecyp1v0025f1jc9vrq5qb6","Rahma Susanto",41,"Perempuan","rahma.susanto39@gmail.com","081504879743","Makeup Artist","D2","3-5jt",5,5,"2023-07-31T11:06:17.459Z","2026-04-25T13:11:26.803Z"
"cmoecyp230026f1jcf207yxyr","Jaya Peranginangin",27,"Laki-laki","jaya.peranginangin71@hotmail.com","081648457440","Karyawan BUMN","SMP","< 3jt",5,1,"2023-09-02T16:58:58.139Z","2026-04-25T13:11:26.812Z"
"cmoecyp2a0027f1jcf464kdaa","Zainal Peranginangin",46,"Laki-laki","zainal.peranginangin39@yahoo.com","088495584855","Mahasiswa","D3","< 3jt",3,2,"2023-11-22T11:21:48.139Z","2026-04-25T13:11:26.819Z"
"cmoecyp2j0028f1jcm70s38ib","Rudi Sinaga",38,"Laki-laki","rudi.sinaga50@outlook.com","088241683150","Penata Rambut","SMP","5-10jt",5,5,"2024-01-19T09:54:15.623Z","2026-04-25T13:11:26.827Z"
"cmoecyp2p0029f1jcqkv43jlk","Surya Susanto",32,"Laki-laki","surya.susanto85@ymail.com","081572882765","Koki","S3","5-10jt",5,4,"2023-10-21T08:02:11.755Z","2026-04-25T13:11:26.834Z"
"cmoecyp2y002af1jc79lbmh75","Wati Wibowo",38,"Perempuan","wati.wibowo30@outlook.com","088680339178","Atlet","D2","3-5jt",1,5,"2023-12-18T22:31:01.312Z","2026-04-25T13:11:26.843Z"
"cmoecyp35002bf1jc10ds5k36","Hadi Hakim",35,"Laki-laki","hadi.hakim88@outlook.com","085814783445","Tentara","SMP","< 3jt",4,4,"2023-06-03T05:37:55.321Z","2026-04-25T13:11:26.849Z"
"cmoecyp3d002cf1jcd58cm0f5","Sari Sinaga",43,"Perempuan","sari.sinaga96@hotmail.com","081982224916","Karyawan BUMN","SMA","< 3jt",5,3,"2023-08-17T14:27:24.970Z","2026-04-25T13:11:26.858Z"
"cmoecyp3l002df1jcumhnuj9r","Agus Kusuma",36,"Laki-laki","agus.kusuma78@ymail.com","081326539252","Pengacara","S3","3-5jt",4,5,"2023-07-30T10:06:21.263Z","2026-04-25T13:11:26.865Z"
"cmoecyp3s002ef1jc0yjvojh4","Zainal Purba",46,"Laki-laki","zainal.purba23@yahoo.com","081267709487","Pilot","S3","< 3jt",1,4,"2023-09-18T17:52:09.123Z","2026-04-25T13:11:26.872Z"
"cmoecyp3z002ff1jc6a8caq79","Yulia Pakpahan",40,"Perempuan","yulia.pakpahan25@gmail.com","088700415525","Tentara","S1","3-5jt",5,1,"2023-12-07T17:28:01.450Z","2026-04-25T13:11:26.880Z"
"cmoecyp45002gf1jcqm2ry89j","Utami Pardede",37,"Perempuan","utami.pardede22@yahoo.com","085370781547","Bartender","S3","3-5jt",4,2,"2023-08-12T10:44:42.157Z","2026-04-25T13:11:26.886Z"
"cmoecyp4c002hf1jcaeey4ke1","Joni Nasution",39,"Laki-laki","joni.nasution91@yahoo.com","085755562641","PNS","SMA","> 10jt",5,1,"2023-06-01T06:54:02.897Z","2026-04-25T13:11:26.892Z"
"cmoecyp4i002if1jct7kak660","Kurniawan Manalu",47,"Laki-laki","kurniawan.manalu15@hotmail.com","087714497185","Programmer","D1","3-5jt",4,1,"2023-06-13T08:52:21.705Z","2026-04-25T13:11:26.898Z"
"cmoecyp4o002jf1jcxjjrhduz","Jaya Manalu",37,"Laki-laki","jaya.manalu64@hotmail.com","081490981475","Makeup Artist","S1","> 10jt",2,5,"2024-01-25T21:02:43.998Z","2026-04-25T13:11:26.904Z"
"cmoecyp4v002kf1jc2m6viy4f","Juli Ginting",34,"Perempuan","juli.ginting58@gmail.com","088906278227","Perawat","SMP","3-5jt",5,1,"2023-09-03T17:33:55.537Z","2026-04-25T13:11:26.912Z"
"cmoecyp53002lf1jcww0kqv2j","Haris Setiawan",50,"Laki-laki","haris.setiawan72@gmail.com","085271016181","Tentara","S2","5-10jt",2,1,"2023-07-30T19:01:22.703Z","2026-04-25T13:11:26.919Z"
"cmoecyp5c002mf1jcuiw7y68c","Juli Silalahi",41,"Perempuan","juli.silalahi40@ymail.com","088348011863","Wiraswasta","D1","3-5jt",3,5,"2023-06-01T11:24:52.068Z","2026-04-25T13:11:26.928Z"
"cmoecyp5j002nf1jcycz3vvdc","Jaya Silalahi",42,"Laki-laki","jaya.silalahi64@outlook.com","085320637308","Polisi","D2","5-10jt",3,2,"2024-01-07T10:29:19.112Z","2026-04-25T13:11:26.935Z"
"cmoecyp5r002of1jc8niwgxa6","Gina Marpaung",50,"Perempuan","gina.marpaung84@gmail.com","081665605690","Marketing","D2","5-10jt",3,3,"2023-06-06T05:10:23.206Z","2026-04-25T13:11:26.943Z"
"cmoecyp5x002pf1jcq104l84u","Haris Wijaya",39,"Laki-laki","haris.wijaya30@outlook.com","088103480825","Pilot","SMP","3-5jt",3,3,"2023-06-12T15:59:44.657Z","2026-04-25T13:11:26.950Z"
"cmoecyp63002qf1jcdhrpu3w5","Galih Susanto",36,"Laki-laki","galih.susanto99@yahoo.com","088498343138","Bartender","S3","5-10jt",4,1,"2023-07-24T07:44:20.149Z","2026-04-25T13:11:26.956Z"
"cmoecyp6b002rf1jcx57i2mlu","Rahmat Kusuma",34,"Laki-laki","rahmat.kusuma29@yahoo.com","087830113708","Dosen","D2","> 10jt",4,1,"2023-08-13T04:07:25.238Z","2026-04-25T13:11:26.963Z"
"cmoecyp6h002sf1jcosp6e1mz","Hendra Manalu",24,"Laki-laki","hendra.manalu59@gmail.com","087754472140","Programmer","D3","3-5jt",2,3,"2023-07-01T12:56:08.761Z","2026-04-25T13:11:26.970Z"
"cmoecyp6o002tf1jcd7uttd0j","Wahyudi Haryanto",39,"Laki-laki","wahyudi.haryanto52@gmail.com","085597422797","Dosen","S1","< 3jt",5,2,"2023-12-06T06:58:53.983Z","2026-04-25T13:11:26.976Z"
"cmoecyp6w002uf1jcpvup2xkc","Intan Sihombing",40,"Perempuan","intan.sihombing88@outlook.com","085749511936","Pengacara","SMP","< 3jt",2,5,"2023-12-04T20:33:37.484Z","2026-04-25T13:11:26.984Z"
"cmoecyp73002vf1jc86qo0vuk","Bayu Lubis",28,"Laki-laki","bayu.lubis92@hotmail.com","085734932483","Koki","SMA","< 3jt",3,5,"2023-11-23T19:38:35.724Z","2026-04-25T13:11:26.991Z"
"cmoecyp7a002wf1jcuhxqkmr1","Ani Hutagalung",43,"Perempuan","ani.hutagalung31@hotmail.com","088762880467","Musisi","S1","3-5jt",1,3,"2024-01-19T15:49:20.862Z","2026-04-25T13:11:26.999Z"
"cmoecyp7h002xf1jc54oizh8e","Wati Nababan",37,"Perempuan","wati.nababan61@outlook.com","088391799125","Karyawan BUMN","D1","> 10jt",5,2,"2023-12-03T18:49:35.626Z","2026-04-25T13:11:27.005Z"
"cmoecyp7p002yf1jcyr275164","Hendra Santoso",24,"Laki-laki","hendra.santoso84@outlook.com","081897342635","Pengusaha","D1","5-10jt",3,3,"2023-10-08T21:13:48.613Z","2026-04-25T13:11:27.013Z"
"cmoecyp7v002zf1jcv78m55qt","Agus Sitorus",32,"Laki-laki","agus.sitorus37@yahoo.com","081968145853","Koki","S2","3-5jt",1,4,"2023-12-10T23:46:12.641Z","2026-04-25T13:11:27.019Z"
"cmoecyp830030f1jc6uxo76ql","Nina Pangaribuan",42,"Perempuan","nina.pangaribuan26@hotmail.com","081281713278","Artis","SMP","< 3jt",2,2,"2024-01-25T08:55:00.974Z","2026-04-25T13:11:27.027Z"
"cmoecyp890031f1jcpdyth7we","Dewi Tarigan",34,"Perempuan","dewi.tarigan29@hotmail.com","085334260316","Guru","D1","5-10jt",2,1,"2023-06-27T19:38:49.209Z","2026-04-25T13:11:27.033Z"
"cmoecyp8e0032f1jcstfiiw5j","Vina Pardede",42,"Perempuan","vina.pardede97@yahoo.com","081935188491","Sopir","D2","> 10jt",1,4,"2023-08-01T06:37:30.081Z","2026-04-25T13:11:27.039Z"
"cmoecyp8n0033f1jccm2i3vh8","Ani Rambe",48,"Perempuan","ani.rambe70@hotmail.com","088157131217","Pramugari","SMP","3-5jt",2,2,"2023-08-31T08:18:47.185Z","2026-04-25T13:11:27.047Z"
